protein,module,kME,abs_kME,r_mu,abs_r_mu,r_mu_p,in_GR_module,r_mu_q,hub_class
RPA4230,5,0.47816011440295214,0.47816011440295214,0.0873247713097569,0.0873247713097569,0.44115939648326813,False,0.5162148703651096,Other
RPA4232,9,0.7330898982945493,0.7330898982945493,-0.6568857194136899,0.6568857194136899,3.669841211693103e-11,True,4.902802251880642e-10,Other
RPA4236,18,0.6743146491923055,0.6743146491923055,-0.3879519206655766,0.3879519206655766,0.0003770147818865575,False,0.001032620132689288,Other
RPA4244,3,-0.9183448401552374,0.9183448401552374,-0.6299459227309503,0.6299459227309503,3.8405527463346666e-10,True,4.029325677934167e-09,Tier 1 only
RPA4245,3,-0.7332441844790027,0.7332441844790027,-0.5670747649683454,0.5670747649683454,4.155902426608463e-08,True,2.6984303518223483e-07,Other
RPA4246,7,-0.9391879734348942,0.9391879734348942,-0.658695089350336,0.658695089350336,3.107770117013958e-11,True,4.274910449848089e-10,Other
RPA4247,3,-0.8802668963626779,0.8802668963626779,-0.817867352757011,0.817867352757011,2.0759635822918954e-20,True,1.2850214574386831e-17,Other
RPA4248,7,-0.6033808572942598,0.6033808572942598,-0.7686675139133794,0.7686675139133794,8.482212468266177e-17,True,6.8484645885088226e-15,Other
RPA4249,3,-0.9046319798973623,0.9046319798973623,-0.7257391108521826,0.7257391108521826,2.6265778016698448e-14,True,8.59326119008046e-13,Other
RPA4250,11,0.5991676174303278,0.5991676174303278,0.05845829912966708,0.05845829912966708,0.606498092729305,False,0.666036048609296,Other
RPA4251,3,-0.6366297659777542,0.6366297659777542,-0.6222736747893756,0.6222736747893756,7.195496895626939e-10,True,6.8876483171026935e-09,Other
RPA4259,7,-0.9303225352727936,0.9303225352727936,-0.5964770814252487,0.5964770814252487,5.269535603065741e-09,True,4.1115662247449916e-08,Other
RPA4260,14,0.4824205994035743,0.4824205994035743,-0.2329417429610354,0.2329417429610354,0.03758047900294116,False,0.06127036831296026,Other
RPA4261,3,-0.4608679517349941,0.4608679517349941,-0.2649283506030168,0.2649283506030168,0.017553663629486505,True,0.031193448191345875,Other
RPA4266,1,-0.5082474136453089,0.5082474136453089,0.2999960451875403,0.2999960451875403,0.006859489641965188,True,0.013436785089798899,Other
RPA4267,1,-0.8787413929963195,0.8787413929963195,0.6490207522810736,0.6490207522810736,7.462192439233789e-11,True,8.940187973972352e-10,Other
RPA4268,13,-0.789692312219465,0.789692312219465,0.47464071779363526,0.47464071779363526,8.663018904030767e-06,True,3.437441475381439e-05,Other
